매장명|주소|전화번호|
여우골 홍대점|서울 마포구 와우산로19길 9|02-325-8717
이요이요스시 공덕1호점|서울 마포구 마포대로 167 공덕래미안5차아파트 상가 지하 5층 106호|
스시노백쉐프 홍대연남점|서울 마포구 동교로 242-4 2층|02-6339-5802
김영섭초밥|서울 마포구 월드컵북로 352-18|02-3152-0900
여우골 홍대서교점|서울 마포구 월드컵북로1길 20|02-338-8717
나랑가|서울 마포구 성미산로 71 1층|02-334-6200
박용석스시 2호점|서울 마포구 잔다리로 78|02-322-6365
스시엔준|서울 마포구 동교로 198 태양빌딩 1층 102호|02-332-2331
은행골 홍대점|서울 마포구 와우산로15길 34|02-2637-4988
최우영식당 홍대점|서울 마포구 월드컵북로4길 12|02-336-2951
스시소라 마포점|서울 마포구 마포대로 68 마포아크로타워 지하1층 07호|02-701-2200
키움초밥 1호점|서울 마포구 잔다리로 77 대창빌딩 1층 101호|02-333-1511
스시강|서울 마포구 독막로 11-5 합정동주상복합건물 2층|02-332-1816
매일스시횟집|서울 마포구 숭문길 34|02-3273-8289
물고기초밥|서울 마포구 독막로3길 24-6|
스시오 홍대점|서울 마포구 어울마당로 100-6 1층|02-336-4300
갈스시|서울 마포구 토정로37길 41|02-701-5847
교꾸스시|서울 마포구 토정로37길 19 1층|02-815-6298
김재운초밥사랑|서울 마포구 백범로 170 공덕더샵아파트 102동 1층 6호|02-711-7787
이요이요 파크자이3호점|서울 마포구 백범로 152 201동 1층 2호|010-4128-2535
스시나마|서울 마포구 망원로 88|02-3144-6815
파파초밥|서울 마포구 와우산로21길 28-10|070-4300-8184
스시린|서울 마포구 월드컵로34길 13 2층|02-302-2121
은행골 홍대역점|서울 마포구 어울마당로 145|02-336-4988
오타루|서울 마포구 만리재옛길 32 1층|02-711-4163
박용석스시 도화점|서울 마포구 도화길 10 2층|02-707-2223
김뿌라 연남동본점|서울 마포구 성미산로 127|02-333-2508
섬마을초밥|서울 마포구 어울마당로 51-1|02-332-5518
구자춘참치 마포본점|서울 마포구 토정로32길 17 7층|02-702-1431
스시미야비|서울 마포구 포은로2가길 62 합정글로벌센터 1층|02-332-1990
미카도스시 합정역점|서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 1층 124호|02-333-3390
서노스시|서울 마포구 성산로2길 63|02-332-9969
