매장명|주소|전화번호|
어반플랜트 합정|서울 마포구 독막로4길 3 1~3층|070-4192-0378
프릳츠 도화점|서울 마포구 새창로2길 17|02-3275-2045
피오니 홍대점|서울 마포구 독막로7길 51 1층|02-333-5325
카페 공명 연남 1호점|서울 마포구 연희로 11 한국특허정보원빌딩 1층|070-8869-6304
943킹스크로스|서울 마포구 양화로16길 24 지하1층, 1~4층|
카페 레이어드 연남점|서울 마포구 성미산로 161-4|
앤트러사이트 서교점|서울 마포구 월드컵로12길 11|02-336-7650
포비 합정점|서울 마포구 양화로3길 66 1층|02-566-3861
오츠커피 마포점|서울 마포구 독막로14길 32 지하 1층|070-7806-5542
비파티세리 공덕점|서울 마포구 마포대로14길 4 1층|02-702-1220
무신사테라스|서울 마포구 양화로 188 AK&홍대 17층|1544-7199
앤트러사이트 합정점|서울 마포구 토정로5길 10|02-336-7850
테일러커피 서교점|서울 마포구 와우산로27길 7 2층|02-334-0355
당인리책발전소|서울 마포구 월드컵로14길 10-8 지하층 ,1층|
콜린|서울 마포구 어울마당로 45 1, 2층|02-3141-1119
커피리브레 연남점|서울 마포구 성미산로 200|02-334-0615
빈브라더스 합정점|서울 마포구 토정로 35-1|02-6012-2001
땡스네이쳐|서울 마포구 홍익로 10 푸르지오상가 지하1층 121호|02-332-7470
땡스오트 연남|서울 마포구 성미산로23길 68|02-3144-0890
딥블루레이크|서울 마포구 포은로6길 11|02-333-8532
디벙크|서울 마포구 성지1길 30 더보이드빌딩 지하1층|02-6930-5598
버터밀크|서울 마포구 와우산로 130 1층|
1984|서울 마포구 동교로 194 혜원빌딩 1층|02-325-1984
톤앤매너|서울 마포구 와우산로29가길 13 1층|02-332-8252
오랑지|서울 마포구 동교로38길 13 2층|
키쉬미뇽|서울 마포구 양화로6길 35|02-333-3466
딩가케이크|서울 마포구 동교로29길 68|
테일러커피 연남1호점|서울 마포구 성미산로 189 1층|02-326-0355
콩카페 연남점|서울 마포구 성미산로 161-14 1층|070-4131-0333
아이엠베이글 공덕점|서울 마포구 백범로 152 공덕파크자이 101동|070-7718-2881
빌리프커피로스터스|서울 마포구 양화로11길 50 1층|
샌드커피 논탄토|서울 마포구 동교로 212-16 1층|02-336-8020
이미커피|서울 마포구 동교로25길 7 1층|02-6368-5228
작당모의|서울 마포구 동교로32길 19 1층 101,102호|070-8838-3815
커피가게동경|서울 마포구 망원로6길 21 지하|070-4845-0619
허밍벨라|서울 마포구 독막로7길 57|02-324-7050
얼스어스|서울 마포구 성미산로 150 지하1층|
브런치가|서울 마포구 월드컵북로4길 39 1,2층|02-735-0263
제비다방|서울 마포구 와우산로 24|02-325-1969
미어캣프랜즈|서울 마포구 와우산로21길 20 2층|010-6250-4683
연남방앗간|서울 마포구 동교로29길 34 1층|
무대륙|서울 마포구 토정로5길 12|02-332-8333
W카페|서울 마포구 동교로25길 16|070-7818-7953
도쿄빙수 본점|서울 마포구 포은로8길 9|02-6409-5692
카페105|서울 마포구 연남로5길 12 1,2층|02-2265-7787
그레이랩|서울 마포구 토정로3길 16|02-333-5694
밤부베이커리&브루잉|서울 마포구 월드컵로5길 33-23|02-3144-0446
시루케이크|서울 마포구 어울마당로1길 18 1층|070-4177-7700
비트포비아 홍대던전점|서울 마포구 독막로3길 30 지하2층|02-322-4997
더페이머스램|서울 마포구 월드컵북로 19 1층|02-334-2352
모아새|서울 마포구 포은로 71 1층|0507-1304-5881
카페스콘|서울 마포구 성미산로 172 1층|02-323-7076
그로토|서울 마포구 새창로4길 9 지하1층|02-702-4196
포멜로빈 공덕점|서울 마포구 백범로 170 상가 102동 1층 9-1호|
노티드 연남|서울 마포구 월드컵북로6길 12-13 2층|070-4177-9377
꼬르소산도|서울 마포구 월드컵로 157 1층|02-338-3383
퍼셉션 (Perception)|서울 마포구 어울마당로1길 16 1층|0507-1320-1086
커피폴리|서울 마포구 양화로11길 14 1층|
82년생김민경X카페르세|서울 마포구 매봉산로 80 파크엠 1층 15호|0507-1333-1982
앤디스커피|서울 마포구 와우산로35길 75 2, 3층|
스탠스커피|서울 마포구 와우산로11길 9 1층 101호|02-323-7500
산리오러버스클럽|서울 마포구 와우산로19길 18 가동 1,2층|
비로소커피|서울 마포구 광성로6길 42 1층|02-712-9030
씨스루 홍대연남점|서울 마포구 동교로 266-6 1층|02-336-9936
광합성카페|서울 마포구 월드컵로19길 8 1층|02-333-6933
